s_true,E,B,s_hat,rel_bias,abs_bias,recovered,realistic
0.5,200000.0,10.0,0.35231391962159403,-29.537216075681194,-0.14768608037840597,False,False
0.6,200000.0,10.0,0.43431101604837646,-27.61483065860392,-0.16568898395162351,False,False
0.7,200000.0,10.0,0.4955508815639531,-29.207016919435265,-0.20444911843604685,False,False
0.8,200000.0,10.0,0.571742936542023,-28.53213293224713,-0.22825706345797703,False,False
0.9,200000.0,10.0,0.5627300856020363,-37.474434933107084,-0.3372699143979637,False,False
1.0,200000.0,10.0,0.7111245959889152,-28.88754040110848,-0.2888754040110848,False,False
0.1,333333.3333333334,0.8,0.06581294386593095,-34.18705613406905,-0.034187056134069055,False,False
0.2,333333.3333333334,0.8,0.13766661381241188,-31.166693093794063,-0.06233338618758813,False,False
0.3,333333.3333333334,0.8,0.19641079497291775,-34.52973500902742,-0.10358920502708224,False,False
0.4,333333.3333333334,0.8,0.2683833564155474,-32.904160896113154,-0.13161664358445263,False,False
0.5,333333.3333333334,0.8,0.338817906004749,-32.236418799050206,-0.16118209399525102,False,False
0.6,333333.3333333334,0.8,0.40355817938537736,-32.74030343577044,-0.19644182061462262,False,False
0.7,333333.3333333334,0.8,0.4575930392909637,-34.62956581557661,-0.24240696070903628,False,False
0.8,333333.3333333334,0.8,0.5287929070877941,-33.90088661402574,-0.2712070929122059,False,False
0.9,333333.3333333334,0.8,0.6082986630752383,-32.41125965830686,-0.29170133692476174,False,False
1.0,333333.3333333334,0.8,0.7085339389183156,-29.146606108168438,-0.2914660610816844,False,False
0.1,333333.3333333334,1.219,0.0720899826944135,-27.91001730558651,-0.02791001730558651,False,False
0.2,333333.3333333334,1.219,0.14516102315947546,-27.419488420262272,-0.05483897684052455,False,False
0.3,333333.3333333334,1.219,0.21199699158262528,-29.334336139124908,-0.08800300841737471,False,False
0.4,333333.3333333334,1.219,0.28849783970707904,-27.875540073230244,-0.11150216029292098,False,False
0.5,333333.3333333334,1.219,0.3693170583859279,-26.136588322814426,-0.13068294161407212,False,False
0.6,333333.3333333334,1.219,0.4490974613542369,-25.150423107627184,-0.15090253864576308,False,False
0.7,333333.3333333334,1.219,0.4999754309728516,-28.57493843244977,-0.20002456902714838,False,False
0.8,333333.3333333334,1.219,0.5847176082981818,-26.910298962727285,-0.2152823917018183,False,False
0.9,333333.3333333334,1.219,0.6383699308250018,-29.07000768611091,-0.2616300691749982,False,False
1.0,333333.3333333334,1.219,0.7036352684562519,-29.63647315437481,-0.2963647315437481,False,False
0.1,333333.3333333334,1.857,0.07632616772286907,-23.673832277130934,-0.023673832277130935,False,False
0.2,333333.3333333334,1.857,0.1524943585378684,-23.7528207310658,-0.0475056414621316,False,False
0.3,333333.3333333334,1.857,0.23464669684319078,-21.78443438560307,-0.0653533031568092,False,False
