pipeline,s_true,h_true,rep,correct,log_ratio,p_a,p_b,elapsed_s,status
hmm,0.7,0.5,1,1.0,0.0,1e-300,1e-300,2.5414739579999974,ok
det,0.7,0.5,1,,,,,,"error: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 1, the array at index 0 has size 2 and the array at index 1 has size 4"
hmm,0.7,0.5,2,1.0,0.0,1e-300,1e-300,2.509542875000008,ok
det,0.7,0.5,2,,,,,,"error: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 1, the array at index 0 has size 2 and the array at index 1 has size 4"
hmm,0.7,1.0,0,1.0,0.0,1e-300,1e-300,2.499363124999988,ok
det,0.7,1.0,0,,,,,,"error: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 1, the array at index 0 has size 2 and the array at index 1 has size 4"
hmm,0.7,1.0,1,1.0,0.0,1e-300,1e-300,2.468325374999992,ok
det,0.7,1.0,1,,,,,,"error: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 1, the array at index 0 has size 2 and the array at index 1 has size 4"
hmm,0.7,1.0,2,1.0,0.0,1e-300,1e-300,2.439551457999997,ok
det,0.7,1.0,2,,,,,,"error: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 1, the array at index 0 has size 2 and the array at index 1 has size 4"
