s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.1,0.6,0.05,1.5,62.110868684868635,0.12688672795775216,1
0.1,0.6,0.05,3.0,78.03056681880962,0.11320552396705587,1
0.1,0.6,0.05,5.0,106.07250319993622,0.0970953856565247,1
0.1,0.6,0.05,6.63,134.15229233784913,0.08633779460726852,1
0.1,0.6,0.1,0.6,104.60559304375589,0.09777381183066527,1
0.1,0.6,0.1,1.5,117.61635847751867,0.09220747626396723,1
0.1,0.6,0.1,3.0,142.85383369750036,0.08366697169480083,1
0.1,0.6,0.1,5.0,181.51844120533485,0.07422319129550979,1
0.1,0.6,0.1,6.63,213.45868847218117,0.06844521336191013,1
0.1,0.6,0.15,0.6,150.57289094497452,0.08149418213918978,1
0.1,0.6,0.15,1.5,167.02719149562873,0.07737602419896188,1
0.1,0.6,0.15,3.0,196.8988359722071,0.07126535053537068,1
0.1,0.6,0.15,5.0,237.34174963356605,0.06491019745065343,1
0.1,0.6,0.15,6.63,265.9130331936131,0.06132395948400666,1
0.1,0.8,0.01,0.6,7.160299749514771,0.3737097238804361,0
0.1,0.8,0.01,1.5,8.269987945258002,0.3477343246474279,0
0.1,0.8,0.01,3.0,10.720731545041767,0.30541319019610635,0
0.1,0.8,0.01,5.0,15.650576659129385,0.2527754125889577,0
0.1,0.8,0.01,6.63,21.71687398000263,0.2145859802575506,0
0.1,0.8,0.03,0.6,21.18424630423147,0.2172668617621638,0
0.1,0.8,0.03,1.5,24.33801226995839,0.20270172619910132,0
0.1,0.8,0.03,3.0,31.126670919546,0.17923947488334335,0
0.1,0.8,0.03,5.0,44.013762851202046,0.15073210022899397,0
0.1,0.8,0.03,6.63,58.45629837775854,0.13079295275965894,1
0.1,0.8,0.05,0.6,34.81575993396001,0.16947750446918652,0
0.1,0.8,0.05,1.5,39.791479047205215,0.15852762707543605,0
0.1,0.8,0.05,3.0,50.23584921626967,0.14108899043907322,1
0.1,0.8,0.05,5.0,69.00554040025742,0.1203810201462977,1
0.1,0.8,0.05,6.63,88.34736524682671,0.10639058548463134,1
0.1,0.8,0.1,0.6,67.20172039014138,0.1219859476447679,1
0.1,0.8,0.1,1.5,75.84663705096575,0.11482377881765793,1
0.1,0.8,0.1,3.0,92.91869262126016,0.10374052815484,1
0.1,0.8,0.1,5.0,119.97407404323832,0.09129695578747475,1
0.1,0.8,0.1,6.63,143.2803252735334,0.0835423563575167,1
0.1,0.8,0.15,0.6,97.21409672275408,0.10142274893851412,1
0.1,0.8,0.15,1.5,108.41416202725492,0.09604107031309234,1
0.1,0.8,0.15,3.0,129.26763452833552,0.0879538995325782,1
0.1,0.8,0.15,5.0,158.76605444138676,0.07936356608252049,1
0.1,0.8,0.15,6.63,180.63019177665947,0.07440546385510442,1
0.1,1.0,0.01,0.6,4.843841813291159,0.4543651611717781,0
0.1,1.0,0.01,1.5,5.596315431642073,0.42271621513854857,0
0.1,1.0,0.01,3.0,7.2607205481914265,0.37111639349252773,0
0.1,1.0,0.01,5.0,10.620699772416625,0.30684809672424546,0
0.1,1.0,0.01,6.63,14.779626195358379,0.260116723550401,0
0.1,1.0,0.03,0.6,14.351645655845761,0.26396670327719374,0
0.1,1.0,0.03,1.5,16.50370463200599,0.24615534972211195,0
