scenario,axis,s_true,h_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,h_ci_width,h_overlap_010,h_mass_015,h_entropy,rho,fisher_h,cr_bound_h,elapsed_s,status
delta_t=0.60y (worst),delta_t,0.6,0.6,0.4154237288135594,0.3291139240506329,-0.1845762711864406,-0.2708860759493671,0.19515274863534382,0.5633875335886747,0.034606317592476905,0.9470726500266328,0,1,0.9124663324341559,0.42337591540751546,0.286360120714091,0.9998705642526996,0.16409763922982248,75.27482156080666,0.11525907573835698,0.6519072920000006,ok
delta_t=0.60y (worst),delta_t,0.6,1.0,0.7701694915254238,1.0,0.17016949152542382,0.0,0.49259982489027054,1.011958313792178,0.0366409351765035,0.9484651848241169,1,0,0.9118242496476134,0.24227841959990237,0.13698237518561232,0.9999800508142621,0.13418649127289464,48.89764554763262,0.1430065817574197,0.645718875,ok
delta_t=0.60y (worst),delta_t,1.0,0.0,1.0742372881355933,0.1518987341772152,0.07423728813559327,0.1518987341772152,0.8971093601267196,1.1293850628807234,0.03057441847456611,0.9439269685173503,1,0,0.9133525500427842,0.2702883475107625,0.15866636387766905,0.9993129238552904,0.40197934727163587,275.9151710520419,0.06020217886165274,0.6428078750000008,ok
delta_t=0.60y (worst),delta_t,1.0,0.3,0.8715254237288137,0.7215189873417721,-0.1284745762711863,0.4215189873417721,0.7664159182478553,0.9954989380044842,0.03397692740669159,0.9463394968290864,0,1,0.9123625694223948,0.4357225466603787,0.2982357181159602,0.9997962871443943,0.3351670705115185,174.21668293698607,0.07576264526365556,0.6829540830000003,ok
delta_t=0.60y (worst),delta_t,1.0,0.6,1.2262711864406781,0.0,0.22627118644067812,-0.6,0.9889580973659718,1.2425383122864408,0.02572168896795651,0.9386908256940604,1,1,0.9129691367261039,0.40491407674411484,0.2702635172379641,0.9977341713126292,0.28739899205631014,120.2417473225722,0.09119527990687094,0.6487522919999993,ok
delta_t=0.60y (worst),delta_t,1.0,1.0,1.4289830508474577,0.12658227848101267,0.4289830508474577,-0.8734177215189873,1.1828580402843154,1.5026245331682755,0.027797832743441657,0.939979339015233,0,0,0.9121815062717914,0.21649195287506787,0.1188487424534471,0.9983437858166153,0.24150629157585723,80.209754333987,0.11165711617270586,0.649660291,ok
delta_t=3.0y (mid),delta_t,0.1,0.0,0.16203389830508477,0.0,0.06203389830508477,0.0,0.06863537057196444,0.15833342802531217,0.026666158408692714,0.9400237777220026,1,0,0.9133576193133099,0.2877702433468903,0.17235351501689494,0.9980403097234487,0.2146324865965302,167.26664971366114,0.07732061877019487,0.6632462910000001,ok
delta_t=3.0y (mid),delta_t,0.1,0.3,0.01,0.0,-0.09000000000000001,-0.3,0.01,0.03184330860937738,0.03628404910863748,0.9482496886406734,0,1,0.9119656395320359,0.43067005755262083,0.29380640342808145,0.9999686164685051,0.17010170280947295,100.88976762246898,0.09955806316983884,0.6404200830000004,ok
delta_t=3.0y (mid),delta_t,0.1,0.6,0.06067796610169492,1.0,-0.03932203389830508,0.4,0.012171571289100208,0.059450336905079094,0.03883371170164437,0.9499398294518958,0,1,0.9111061177502514,0.43011365435005006,0.29236678271532957,0.9999914079978576,0.14087394172123113,67.42956265961757,0.12177968000646971,0.6561259169999989,ok
delta_t=3.0y (mid),delta_t,0.1,1.0,0.11135593220338984,1.0,0.011355932203389832,0.0,0.06326280722098866,0.11014535554427034,0.048977137819753956,0.9552460647908648,1,0,0.9062689269711108,0.2684856070784022,0.15611155308836208,0.9989432049712454,0.1146154986379124,43.628820047482975,0.15139560444567662,0.6632260409999997,ok
