h_true,s_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,obs_vaf_final,vaf_ceiling,warning,status
0.0,0.3,0.2120408163265306,0.48275862068965514,-0.08795918367346939,0.48275862068965514,0.19183673469387755,0.2524489795918367,0.3448275862068966,0.9655172413793103,0,0,0.36,0.5,,ok
0.1,0.3,0.29285714285714287,0.6551724137931034,-0.0071428571428571175,0.5551724137931034,0.2524489795918367,0.3130612244897959,0.48275862068965514,0.7931034482758621,1,0,0.4,0.55,,ok
0.2,0.3,0.2524489795918367,0.7586206896551724,-0.04755102040816328,0.5586206896551724,0.23224489795918368,0.29285714285714287,0.6206896551724138,0.9655172413793103,0,0,0.432,0.6,,ok
0.3,0.3,0.29285714285714287,0.896551724137931,-0.0071428571428571175,0.596551724137931,0.2726530612244898,0.3130612244897959,0.7586206896551724,1.0,1,0,0.466,0.65,,ok
0.4,0.3,0.29285714285714287,0.9655172413793103,-0.0071428571428571175,0.5655172413793103,0.2726530612244898,0.3130612244897959,0.7931034482758621,1.0,1,0,0.482,0.7,,ok
0.5,0.3,0.333265306122449,1.0,0.03326530612244899,0.5,0.3130612244897959,0.35346938775510206,0.896551724137931,1.0,0,0,0.526,0.75,,ok
0.6,0.3,0.29285714285714287,1.0,-0.0071428571428571175,0.4,0.2726530612244898,0.3130612244897959,0.896551724137931,1.0,1,0,0.52,0.8,,ok
0.7,0.3,0.2524489795918367,1.0,-0.04755102040816328,0.30000000000000004,0.23224489795918368,0.29285714285714287,0.8620689655172413,1.0,0,0,0.498,0.85,,ok
0.8,0.3,0.29285714285714287,1.0,-0.0071428571428571175,0.19999999999999996,0.2726530612244898,0.333265306122449,0.896551724137931,1.0,1,0,0.524,0.9,,ok
0.9,0.3,0.2524489795918367,1.0,-0.04755102040816328,0.09999999999999998,0.23224489795918368,0.2726530612244898,0.9655172413793103,1.0,0,0,0.574,0.95,,ok
1.0,0.3,0.333265306122449,1.0,0.03326530612244899,0.0,0.3130612244897959,0.4140816326530612,0.9655172413793103,1.0,0,1,0.586,1.0,,ok
