s,h,vaf0,delta_t,rho,identifiable
0.1,0.8,0.01,3.0,0.018709953878966214,0
0.1,0.8,0.01,5.0,0.033575309853746634,0
0.1,0.8,0.01,6.63,0.05361541500596976,0
0.1,0.8,0.03,0.6,0.027502922521476486,0
0.1,0.8,0.03,1.5,0.03572331212090287,0
0.1,0.8,0.03,3.0,0.05491051282616885,0
0.1,0.8,0.03,5.0,0.09573185785737433,0
0.1,0.8,0.03,6.63,0.14721984137962993,0
0.1,0.8,0.05,0.6,0.045700172904895996,0
0.1,0.8,0.05,1.5,0.05902942477266869,0
0.1,0.8,0.05,3.0,0.0895716919578347,0
0.1,0.8,0.05,5.0,0.15201602118676283,0
0.1,0.8,0.05,6.63,0.22620316002183655,0
0.1,0.8,0.1,0.6,0.09071740884311749,0
0.1,0.8,0.1,1.5,0.1155863871681334,0
0.1,0.8,0.1,3.0,0.17010170280947293,0
0.1,0.8,0.1,5.0,0.27191928273927435,0
0.1,0.8,0.1,6.63,0.3785031023875226,0
0.1,0.8,0.15,0.6,0.13506690284962808,0
0.1,0.8,0.15,1.5,0.16982304026867245,0
0.1,0.8,0.15,3.0,0.24289330277803234,0
0.1,0.8,0.15,5.0,0.3689132231028212,0
0.1,0.8,0.15,6.63,0.48803180469983176,0
0.1,1.0,0.01,0.6,0.0079709689975639,0
0.1,1.0,0.01,1.5,0.010415951156828486,0
0.1,1.0,0.01,3.0,0.016239334189670596,0
0.1,1.0,0.01,5.0,0.029200154738225362,0
0.1,1.0,0.01,6.63,0.04675519813965758,0
0.1,1.0,0.03,0.6,0.023850273501442434,0
0.1,1.0,0.03,1.5,0.031013734050237354,0
0.1,1.0,0.03,3.0,0.04779677577077316,0
0.1,1.0,0.03,5.0,0.08379857009459508,0
0.1,1.0,0.03,6.63,0.1297896051487585,0
0.1,1.0,0.05,0.6,0.039646612094262214,0
0.1,1.0,0.05,1.5,0.051305161239311024,0
0.1,1.0,0.05,3.0,0.07818290340365631,0
