s,h,vaf0,delta_t,rho,identifiable
0.64,0.4,0.05,5.0,0.998849935650545,1
0.64,0.4,0.05,6.63,0.9999496462272429,1
0.64,0.4,0.1,0.6,0.2834440583828178,0
0.64,0.4,0.1,1.5,0.6900939281018261,1
0.64,0.4,0.1,3.0,0.975410969447395,1
0.64,0.4,0.1,5.0,0.9994584635287209,1
0.64,0.4,0.1,6.63,0.9999763034752388,1
0.64,0.4,0.15,0.6,0.3875937979547294,0
0.64,0.4,0.15,1.5,0.7808389528504369,1
0.64,0.4,0.15,3.0,0.9844888291594828,1
0.64,0.4,0.15,5.0,0.999661470958267,1
0.64,0.4,0.15,6.63,0.9999851895404156,1
0.64,0.6,0.01,0.6,0.028213161700254678,0
0.64,0.6,0.01,1.5,0.14047530087075544,0
0.64,0.6,0.01,3.0,0.7443405014002006,1
0.64,0.6,0.01,5.0,0.9926716686325245,1
0.64,0.6,0.01,6.63,0.9996772314123639,1
0.64,0.6,0.03,0.6,0.08149418663236943,0
0.64,0.6,0.03,1.5,0.33309573898319755,0
0.64,0.6,0.03,3.0,0.8989655762140916,1
0.64,0.6,0.03,5.0,0.9975901630743208,1
0.64,0.6,0.03,6.63,0.9998943616508867,1
0.64,0.6,0.05,0.6,0.13095713013169352,0
0.64,0.6,0.05,1.5,0.458961915818365,0
0.64,0.6,0.05,3.0,0.9379337853768486,1
0.64,0.6,0.05,5.0,0.9985797166076842,1
0.64,0.6,0.05,6.63,0.9999377990176659,1
0.64,0.6,0.1,0.6,0.24038222965347245,0
0.64,0.6,0.1,1.5,0.6404723598051816,1
0.64,0.6,0.1,3.0,0.9694515013012039,1
0.64,0.6,0.1,5.0,0.9993231710427924,1
0.64,0.6,0.1,6.63,0.9999703795195242,1
0.64,0.6,0.15,0.6,0.3331823482299258,0
0.64,0.6,0.15,1.5,0.7377241785873049,1
0.64,0.6,0.15,3.0,0.9804334502940777,1
0.64,0.6,0.15,5.0,0.9995712352536233,1
0.64,0.6,0.15,6.63,0.9999812401586176,1
0.64,0.8,0.01,0.6,0.023943761314117136,0
0.64,0.8,0.01,1.5,0.1213388371157773,0
0.64,0.8,0.01,3.0,0.7109880520606985,1
0.64,0.8,0.01,5.0,0.991338667118756,1
0.64,0.8,0.01,6.63,0.9996180304399125,1
0.64,0.8,0.03,0.6,0.06955308194074203,0
0.64,0.8,0.03,1.5,0.2961759280608787,0
0.64,0.8,0.03,3.0,0.8823033315950095,1
0.64,0.8,0.03,5.0,0.9971410140582858,1
0.64,0.8,0.03,6.63,0.9998746186407871,1
0.64,0.8,0.05,0.6,0.11235824749274687,0
0.64,0.8,0.05,1.5,0.4160825784634645,0
0.64,0.8,0.05,3.0,0.9269749612068386,1
0.64,0.8,0.05,5.0,0.9983096437300881,1
0.64,0.8,0.05,6.63,0.9999259520888125,1
0.64,0.8,0.1,0.6,0.20867897770150973,0
0.64,0.8,0.1,1.5,0.5975082160243329,1
0.64,0.8,0.1,3.0,0.963564412063578,1
0.64,0.8,0.1,5.0,0.9991879151798553,1
0.64,0.8,0.1,6.63,0.9999644556339974,1
0.64,0.8,0.15,0.6,0.2921671460686867,0
0.64,0.8,0.15,1.5,0.6991215114937656,1
0.64,0.8,0.15,3.0,0.9764113447969418,1
0.64,0.8,0.15,5.0,0.9994810158379888,1
0.64,0.8,0.15,6.63,0.9999772908080151,1
0.64,1.0,0.01,0.6,0.02079667262301595,0
0.64,1.0,0.01,1.5,0.10679106074113466,0
0.64,1.0,0.01,3.0,0.6804963355486858,1
0.64,1.0,0.01,5.0,0.9900092408256865,1
0.64,1.0,0.01,6.63,0.9995588364788192,1
0.64,1.0,0.03,0.6,0.06066414264049677,0
0.64,1.0,0.03,1.5,0.2666237666272791,0
0.64,1.0,0.03,3.0,0.8662475132758481,1
0.64,1.0,0.03,5.0,0.9966922693045602,1
0.64,1.0,0.03,6.63,0.9998548764103271,1
0.64,1.0,0.05,0.6,0.09838530304256181,0
0.64,1.0,0.05,1.5,0.38053080758648594,0
0.64,1.0,0.05,3.0,0.9162692654224457,1
0.64,1.0,0.05,5.0,0.998039716899195,1
0.64,1.0,0.05,6.63,0.9999141054406725,1
0.64,1.0,0.1,0.6,0.18436381700968388,0
0.64,1.0,0.1,1.5,0.5599459424717667,1
0.64,1.0,0.1,3.0,0.9577483911093725,1
0.64,1.0,0.1,5.0,0.999052695925041,1
0.64,1.0,0.1,6.63,0.9999585318186569,1
0.64,1.0,0.15,0.6,0.26014316689417627,0
0.64,1.0,0.15,1.5,0.6643578612138924,1
0.64,1.0,0.15,3.0,0.9724221048416476,1
0.64,1.0,0.15,5.0,0.9993908127069532,1
0.64,1.0,0.15,6.63,0.999973341488608,1
0.82,0.0,0.01,0.6,0.08197424764207974,0
0.82,0.0,0.01,1.5,0.4497154897295241,0
0.82,0.0,0.01,3.0,0.9703495683237426,1
0.82,0.0,0.01,5.0,0.9997770142550413,1
0.82,0.0,0.01,6.63,0.9999959548169176,1
0.82,0.0,0.03,0.6,0.21831117040082496,0
0.82,0.0,0.03,1.5,0.7187894270398943,1
0.82,0.0,0.03,3.0,0.9903247772663555,1
0.82,0.0,0.03,5.0,0.9999286944215932,1
0.82,0.0,0.03,6.63,0.9999987066385846,1
0.82,0.0,0.05,0.6,0.32712337967395805,0
0.82,0.0,0.05,1.5,0.8164944829405193,1
0.82,0.0,0.05,3.0,0.9944189153499982,1
0.82,0.0,0.05,5.0,0.9999590359779521,1
0.82,0.0,0.05,6.63,0.9999992570047355,1
0.82,0.0,0.1,0.6,0.5224113828456407,1
0.82,0.0,0.1,1.5,0.9091834737471316,1
0.82,0.0,0.1,3.0,0.997511803023359,1
0.82,0.0,0.1,5.0,0.9999817933536357,1
0.82,0.0,0.1,6.63,0.9999996697797461,1
0.82,0.0,0.15,0.6,0.6521951180780176,1
0.82,0.0,0.15,1.5,0.9449402188264844,1
0.82,0.0,0.15,3.0,0.9985470454147901,1
0.82,0.0,0.15,5.0,0.9999893793757183,1
0.82,0.0,0.15,6.63,0.9999998073714921,1
0.82,0.2,0.01,0.6,0.05963045460162871,0
0.82,0.2,0.01,1.5,0.3672328227758661,0
0.82,0.2,0.01,3.0,0.9587466088056869,1
0.82,0.2,0.01,5.0,0.9996860282412728,1
0.82,0.2,0.01,6.63,0.999994303731187,1
0.82,0.2,0.03,0.6,0.16381935701689798,0
0.82,0.2,0.03,1.5,0.6419688226029951,1
0.82,0.2,0.03,3.0,0.9862642130385383,1
0.82,0.2,0.03,5.0,0.9998983547064737,1
0.82,0.2,0.03,6.63,0.9999981562730398,1
0.82,0.2,0.05,0.6,0.2518161728579235,0
0.82,0.2,0.05,1.5,0.7549243565455475,1
0.82,0.2,0.05,3.0,0.9919583803765935,1
0.82,0.2,0.05,5.0,0.9999408308231786,1
0.82,0.2,0.05,6.63,0.9999989267849723,1
0.82,0.2,0.1,0.6,0.421709543891639,0
0.82,0.2,0.1,1.5,0.8696922588196271,1
0.82,0.2,0.1,3.0,0.9962723421085861,1
0.82,0.2,0.1,5.0,0.9999726902790628,1
0.82,0.2,0.1,6.63,0.9999995046697009,1
0.82,0.2,0.15,0.6,0.544064639410529,1
0.82,0.2,0.15,1.5,0.9161166849949259,1
0.82,0.2,0.15,3.0,0.9977186797402313,1
0.82,0.2,0.15,5.0,0.9999833105488445,1
0.82,0.2,0.15,6.63,0.9999996972980922,1
0.82,0.4,0.01,0.6,0.04685825788656979,0
0.82,0.4,0.01,1.5,0.3103172881482155,0
0.82,0.4,0.01,3.0,0.9474178553531188,1
0.82,0.4,0.01,5.0,0.9995950587865998,1
0.82,0.4,0.01,6.63,0.9999926526509084,1
0.82,0.4,0.03,0.6,0.13109679032282112,0
0.82,0.4,0.03,1.5,0.5799831373666409,1
0.82,0.4,0.03,3.0,0.9822368113708677,1
0.82,0.4,0.03,5.0,0.9998680168324264,1
0.82,0.4,0.03,6.63,0.9999976059081004,1
0.82,0.4,0.05,0.6,0.2046935801781905,0
0.82,0.4,0.05,1.5,0.701988857771342,1
0.82,0.4,0.05,3.0,0.9895099917712447,1
0.82,0.4,0.05,5.0,0.9999226263312753,1
0.82,0.4,0.05,6.63,0.9999985965654271,1
0.82,0.4,0.1,0.6,0.3535567185484523,0
0.82,0.4,0.1,1.5,0.8334889065811317,1
0.82,0.4,0.1,3.0,0.9950359575621036,1
0.82,0.4,0.1,5.0,0.9999635873702232,1
0.82,0.4,0.1,6.63,0.9999993395597102,1
0.82,0.4,0.15,0.6,0.46668993291987476,0
0.82,0.4,0.15,1.5,0.8889995118699993,1
0.82,0.4,0.15,3.0,0.9968916873027623,1
0.82,0.4,0.15,5.0,0.9999772417956322,1
0.82,0.4,0.15,6.63,0.9999995872247168,1
0.82,0.6,0.01,0.6,0.03859222236758749,0
0.82,0.6,0.01,1.5,0.26867649418810674,0
0.82,0.6,0.01,3.0,0.9363537012498022,1
0.82,0.6,0.01,5.0,0.9995041058865021,1
0.82,0.6,0.01,6.63,0.9999910015760824,1
0.82,0.6,0.03,0.6,0.10927028438596902,0
0.82,0.6,0.03,1.5,0.5289135699516307,1
0.82,0.6,0.03,3.0,0.9782421676584339,1
0.82,0.6,0.03,5.0,0.9998376807992838,1
0.82,0.6,0.03,6.63,0.999997055543767,1
0.82,0.6,0.05,0.6,0.17242713194574102,0
0.82,0.6,0.05,1.5,0.655990619245982,1
0.82,0.6,0.05,3.0,0.9870736598150451,1
0.82,0.6,0.05,5.0,0.9999044225022066,1
0.82,0.6,0.05,6.63,0.9999982663461003,1
0.82,0.6,0.1,0.6,0.30436761809605156,0
0.82,0.6,0.1,1.5,0.8001792270733689,1
0.82,0.6,0.1,3.0,0.993802637944691,1
0.82,0.6,0.1,5.0,0.9999544846271126,1
0.82,0.6,0.1,6.63,0.9999991744497742,1
0.82,0.6,0.15,0.6,0.4085828999165921,0
0.82,0.6,0.15,1.5,0.8634415301840929,1
0.82,0.6,0.15,3.0,0.9960660646904519,1
0.82,0.6,0.15,5.0,0.9999711731160804,1
0.82,0.6,0.15,6.63,0.9999994771513655,1
0.82,0.8,0.01,0.6,0.032805215203613375,0
0.82,0.8,0.01,1.5,0.23688889474048871,0
0.82,0.8,0.01,3.0,0.9255449833566891,1
0.82,0.8,0.01,5.0,0.9994131695364606,1
0.82,0.8,0.01,6.63,0.9999893505067083,1
0.82,0.8,0.03,0.6,0.09367430542654342,0
0.82,0.8,0.03,1.5,0.4861098754064904,0
0.82,0.8,0.03,3.0,0.9742798838515921,1
0.82,0.8,0.03,5.0,0.9998073466068779,1
0.82,0.8,0.03,6.63,0.9999965051800394,1
0.82,0.8,0.05,0.6,0.14894801960720136,0
0.82,0.8,0.05,1.5,0.6156497990314765,1
0.82,0.8,0.05,3.0,0.9846492956705283,1
0.82,0.8,0.05,5.0,0.9998862193359356,1
0.82,0.8,0.05,6.63,0.9999979361269914,1
0.82,0.8,0.1,0.6,0.2671938756643445,0
0.82,0.8,0.1,1.5,0.7694296226896696,1
0.82,0.8,0.1,3.0,0.9925723718737713,1
0.82,0.8,0.1,5.0,0.9999453820497264,1
0.82,0.8,0.1,6.63,0.9999990093398927,1
0.82,0.8,0.15,0.6,0.3633434233348874,0
0.82,0.8,0.15,1.5,0.8393120216832181,1
0.82,0.8,0.15,3.0,0.9952418085026609,1
0.82,0.8,0.15,5.0,0.9999651045101874,1
0.82,0.8,0.15,6.63,0.9999993670780385,1
0.82,1.0,0.01,0.6,0.028527447937194066,0
0.82,1.0,0.01,1.5,0.21182723359994335,0
0.82,1.0,0.01,3.0,0.9149829568021084,1
0.82,1.0,0.01,5.0,0.9993222497319589,1
0.82,1.0,0.01,6.63,0.9999876994427864,1
0.82,1.0,0.03,0.6,0.08197424764207974,0
0.82,1.0,0.03,1.5,0.4497154897295241,0
0.82,1.0,0.03,3.0,0.9703495683237425,1
0.82,1.0,0.03,5.0,0.9997770142550412,1
0.82,1.0,0.03,6.63,0.9999959548169177,1
0.82,1.0,0.05,0.6,0.13109679032282112,0
0.82,1.0,0.05,1.5,0.5799831373666409,1
0.82,1.0,0.05,3.0,0.9822368113708678,1
0.82,1.0,0.05,5.0,0.9998680168324264,1
0.82,1.0,0.05,6.63,0.9999976059081003,1
0.82,1.0,0.1,0.6,0.23811219636808645,0
0.82,1.0,0.1,1.5,0.7409558766802573,1
0.82,1.0,0.1,3.0,0.9913451480230618,1
0.82,1.0,0.1,5.0,0.9999362796380602,1
0.82,1.0,0.1,6.63,0.9999988442300656,1
0.82,1.0,0.15,0.6,0.32712337967395805,0
0.82,1.0,0.15,1.5,0.8164944829405192,1
0.82,1.0,0.15,3.0,0.9944189153499982,1
0.82,1.0,0.15,5.0,0.9999590359779522,1
0.82,1.0,0.15,6.63,0.9999992570047355,1
1.0,0.0,0.01,0.6,0.10989439066478605,0
1.0,0.0,0.01,1.5,0.6475254557362883,1
1.0,0.0,0.01,3.0,0.9939892669855555,1
1.0,0.0,0.01,5.0,0.9999850110109686,1
1.0,0.0,0.01,6.63,0.9999998872598038,1
1.0,0.0,0.03,0.6,0.2785761629665739,0
1.0,0.0,0.03,1.5,0.8517590494663082,1
1.0,0.0,0.03,3.0,0.998070310636494,1
1.0,0.0,0.03,5.0,0.9999952075532798,1
1.0,0.0,0.03,6.63,0.9999999639538121,1
1.0,0.0,0.05,0.6,0.40197934727163587,0
1.0,0.0,0.05,1.5,0.9091066375909783,1
1.0,0.0,0.05,3.0,0.9988905440229229,1
1.0,0.0,0.05,5.0,0.9999972468866951,1
1.0,0.0,0.05,6.63,0.9999999792926151,1
1.0,0.0,0.1,0.6,0.6019760878016369,1
1.0,0.0,0.1,1.5,0.9574545623263683,1
1.0,0.0,0.1,3.0,0.9995066043430987,1
1.0,0.0,0.1,5.0,0.9999987763922152,1
1.0,0.0,0.1,6.63,0.99999998,1
1.0,0.0,0.15,0.6,0.7216582753045744,1
1.0,0.0,0.15,1.5,0.9747339296820609,1
1.0,0.0,0.15,3.0,0.9997121266853729,1
1.0,0.0,0.15,5.0,0.9999992862284283,1
1.0,0.0,0.15,6.63,0.99999998,1
1.0,0.2,0.01,0.6,0.08060860602018909,0
1.0,0.2,0.01,1.5,0.5660844876543589,1
1.0,0.2,0.01,3.0,0.9915566212227496,1
1.0,0.2,0.01,5.0,0.9999788931853922,1
1.0,0.2,0.01,6.63,0.9999998412434045,1
1.0,0.2,0.03,0.6,0.21314348579248976,0
1.0,0.2,0.03,1.5,0.8012172588149358,1
1.0,0.2,0.03,3.0,0.9972514232049622,1
1.0,0.2,0.03,5.0,0.9999931682281822,1
1.0,0.2,0.03,6.63,0.9999999486150094,1
1.0,0.2,0.05,0.6,0.317572672970165,0
1.0,0.2,0.05,1.5,0.8738073965379954,1
1.0,0.2,0.05,3.0,0.9983982422907394,1
1.0,0.2,0.05,5.0,0.9999960232856477,1
1.0,0.2,0.05,6.63,0.9999999700893331,1
1.0,0.2,0.1,0.6,0.5020601210350583,1
1.0,0.2,0.1,1.5,0.9375111512005004,1
1.0,0.2,0.1,3.0,0.9992600890490728,1
1.0,0.2,0.1,5.0,0.9999981645894456,1
1.0,0.2,0.1,6.63,0.9999999828571428,1
1.0,0.2,0.15,0.6,0.6226278177917196,1
1.0,0.2,0.15,1.5,0.9608612508648415,1
1.0,0.2,0.15,3.0,0.9995477020510203,1
1.0,0.2,0.15,5.0,0.9999988783594164,1
1.0,0.2,0.15,6.63,0.9999999828571428,1
1.0,0.4,0.01,0.6,0.06364723726805996,0
1.0,0.4,0.01,1.5,0.5028408769963315,1
1.0,0.4,0.01,3.0,0.9891358534913909,1
1.0,0.4,0.01,5.0,0.9999727754346724,1
1.0,0.4,0.01,6.63,0.9999997952270094,1
1.0,0.4,0.03,0.6,0.17260223431791574,0
1.0,0.4,0.03,1.5,0.7563375987716077,1
1.0,0.4,0.03,3.0,0.9964338784180937,1
1.0,0.4,0.03,5.0,0.9999911289114024,1
1.0,0.4,0.03,6.63,0.9999999332762072,1
1.0,0.4,0.05,0.6,0.26246160483596037,0
1.0,0.4,0.05,1.5,0.8411469285953742,1
1.0,0.4,0.05,3.0,0.99790642557988,1
1.0,0.4,0.05,5.0,0.9999947996875947,1
1.0,0.4,0.05,6.63,0.9999999608860515,1
1.0,0.4,0.1,0.6,0.43059069487233753,0
1.0,0.4,0.1,1.5,0.9183816145825376,1
1.0,0.4,0.1,3.0,0.9990136953246405,1
1.0,0.4,0.1,5.0,0.9999975527874246,1
1.0,0.4,0.1,6.63,0.9999999815934356,1
1.0,0.4,0.15,0.6,0.547496875705469,1
1.0,0.4,0.15,1.5,0.9473779103666482,1
1.0,0.4,0.15,3.0,0.999383331494264,1
1.0,0.4,0.15,5.0,0.9999984704907369,1
1.0,0.4,0.15,6.63,0.9999999844444444,1
1.0,0.6,0.01,0.6,0.05258292917659062,0
1.0,0.6,0.01,1.5,0.45230845562030164,0
1.0,0.6,0.01,3.0,0.9867268770069447,1
1.0,0.6,0.01,5.0,0.9999666577588073,1
1.0,0.6,0.01,6.63,0.9999997492106188,1
1.0,0.6,0.03,0.6,0.1450187436359776,0
1.0,0.6,0.03,1.5,0.7162190573205152,1
1.0,0.6,0.03,3.0,0.9956176729765008,1
1.0,0.6,0.03,5.0,0.9999890896029402,1
1.0,0.6,0.03,6.63,0.9999999179374057,1
1.0,0.6,0.05,0.6,0.22364977112444742,0
1.0,0.6,0.05,1.5,0.8108400050155024,1
1.0,0.6,0.05,3.0,0.9974150931739243,1
1.0,0.6,0.05,5.0,0.9999935760925364,1
1.0,0.6,0.05,6.63,0.99999995168277,1
1.0,0.6,0.1,0.6,0.37693335494296004,0
1.0,0.6,0.1,1.5,0.9000171283662101,1
1.0,0.6,0.1,3.0,0.9987674230798955,1
1.0,0.6,0.1,5.0,0.9999969409861524,1
1.0,0.6,0.1,6.63,0.9999999769917945,1
1.0,0.6,0.15,0.6,0.4885453319538369,0
1.0,0.6,0.15,1.5,0.9342677447648969,1
1.0,0.6,0.15,3.0,0.9992190149884305,1
1.0,0.6,0.15,5.0,0.9999980626223902,1
1.0,0.6,0.15,6.63,0.9999999854281366,1
1.0,0.8,0.01,0.6,0.04479572940763946,0
1.0,0.8,0.01,1.5,0.41100497831380073,0
1.0,0.8,0.01,3.0,0.9843296058282541,1
1.0,0.8,0.01,5.0,0.9999605401577959,1
1.0,0.8,0.01,6.63,0.9999997031942321,1
1.0,0.8,0.03,0.6,0.12503668365746376,0
1.0,0.8,0.03,1.5,0.6801421630785532,1
1.0,0.8,0.03,3.0,0.9948028035915976,1
1.0,0.8,0.03,5.0,0.9999870503027956,1
1.0,0.8,0.03,6.63,0.9999999025986046,1
1.0,0.8,0.05,0.6,0.1948378792817745,0
1.0,0.8,0.05,1.5,0.7826410751396773,1
1.0,0.8,0.05,3.0,0.9969242443578634,1
1.0,0.8,0.05,5.0,0.9999923525004722,1
1.0,0.8,0.05,6.63,0.9999999424794885,1
1.0,0.8,0.1,0.6,0.3351670705115185,0
1.0,0.8,0.1,1.5,0.8823726971438706,1
1.0,0.8,0.1,3.0,0.99852127222502,1
1.0,0.8,0.1,5.0,0.9999963291856289,1
1.0,0.8,0.1,6.63,0.9999999723901537,1
1.0,0.8,0.15,0.6,0.4410548932169124,0
1.0,0.8,0.15,1.5,0.9215154731264458,1
1.0,0.8,0.15,3.0,0.999054752506863,1
1.0,0.8,0.15,5.0,0.9999976547543764,1
1.0,0.8,0.15,6.63,0.9999999823603758,1
1.0,1.0,0.01,0.6,0.03901748609780916,0
1.0,1.0,0.01,1.5,0.37661372141288557,0
1.0,1.0,0.01,3.0,0.9819439548473207,1
1.0,1.0,0.01,5.0,0.9999544226316365,1
1.0,1.0,0.01,6.63,0.9999996571778498,1
1.0,1.0,0.03,0.6,0.10989439066478605,0
1.0,1.0,0.03,1.5,0.6475254557362883,1
1.0,1.0,0.03,3.0,0.9939892669855555,1
1.0,1.0,0.03,5.0,0.9999850110109687,1
1.0,1.0,0.03,6.63,0.9999998872598038,1
1.0,1.0,0.05,0.6,0.17260223431791574,0
1.0,1.0,0.05,1.5,0.7563375987716077,1
1.0,1.0,0.05,3.0,0.9964338784180936,1
1.0,1.0,0.05,5.0,0.9999911289114024,1
1.0,1.0,0.05,6.63,0.9999999332762073,1
1.0,1.0,0.1,0.6,0.3017333584119495,0
1.0,1.0,0.1,1.5,0.8654067861230299,1
1.0,1.0,0.1,3.0,0.9982752426702848,1
1.0,1.0,0.1,5.0,0.9999957173858539,1
1.0,1.0,0.1,6.63,0.9999999677885129,1
1.0,1.0,0.15,0.6,0.40197934727163576,0
1.0,1.0,0.15,1.5,0.9091066375909783,1
1.0,1.0,0.15,3.0,0.9988905440229227,1
1.0,1.0,0.15,5.0,0.9999972468866951,1
1.0,1.0,0.15,6.63,0.999999979292615,1
